name,gender,description,age,job,hobby,categories_liked,categories_disliked
Ava Martinez,F,"a schoolchild who loves to express herself through dance. She is a very active and creative child, who is always looking for new ways to explore her interests. She is a big fan of nature-related books that teach her about the world around her, such as ""The Magic School Bus"" series by Joanna Cole and ""The One and Only Ivan"" by Katherine Applegate. Ava is also very interested in religion, and loves reading books that help her understand different belief systems, such as ""The Little Prince"" by Antoine de Saint-Exupéry and ""The Alchemist"" by Paulo Coelho. She is also very interested in Computers and technology, and loves reading books that teach her about coding and computer science, such as ""Code.org: The Magazine"" and ""The Art of Computer Programming"" by Donald Knuth. Ava also loves fiction books, especially those that are imaginative and full of adventure, such as ""The Chronicles of Narnia"" by C.S. Lewis and ""Wonder"" by R.J. Palacio.",8,schoolchild,Dancing,"['Nature', 'Religion', 'Computers', 'Fiction']","['Crafts', 'Recreation', 'Hobbies', 'History']"
Peter Smith,M,"an apprentice in a carpentry and joinery company. He is a big fan of study aids that help him to improve his skills and knowledge, such as ""The",24,apprentice,Birdwatching,"['Study Aids', 'Business', 'Comics', 'Religion']","['Music', 'Foreign Language Study', 'Travel', 'Economics']"
Alex,M,"a teacher by profession and a insect collector by hobby. He is a passionate person who is always eager to learn more and has a thirst for knowledge. He is interested in the human body and how it works, this is why he enjoys reading books about anatomy and physiology. He also enjoys reading about computers and technology, as he is always looking for new ways to integrate technology in his lessons. He also enjoys reading self-help books and books about relationships, as he believes that personal development is key to a happy life. He dislikes reading books about Disciplines, Fiction, Psychology, and Economics.",46,Teacher,Insect collecting,"['Body', 'Computers', 'Self-Help', 'Relationships']","['Disciplines', 'Fiction', 'Psychology', 'Economics']"
Emily,F,"a schoolchild who has a passion for learning magic tricks. She enjoys reading books that take her on an adventure and transport her to a different world. She loves reading fiction, sports, relationships and computers books. She is also interested in learning more about the latest technology and how it can be used in different ways. She dislikes reading books about Disciplines, Autobiography, Biography, and Business.",10,schoolchild,Learning magic tricks,"['Fiction', 'Sports', 'Relationships', 'Computers']","['Disciplines', 'Autobiography', 'Biography', 'Business']"
John,M,"a schoolchild who is passionate about swimming. He enjoys reading books that are based on real-life experiences, such as autobiographies and books about families. He is also interested in learning about different disciplines and how to improve himself. He dislikes reading books about Fiction, History, Sports, and Business.",10,schoolchild,Swimming,"['Autobiography', 'Family', 'Disciplines', 'Self-Help']","['Fiction', 'History', 'Sports', 'Business']"
Sarah,F,"a paramedic by profession and a Bridge player by hobby. She is interested in learning more about the latest technology and how it can be used in different ways, this is why she enjoys reading books about computers and hobbies. She also enjoys reading books about history, as she finds it fascinating to learn about the past. She dislikes reading books about Biography, Sports, Body, and Fiction.",60,Paramedic,Bridge,"['Computers', 'Hobbies', 'Recreation', 'History']","['Biography', 'Sports', 'Body', 'Fiction']"
Ava,F,"a civil engineer and she has a great passion for ballroom dancing. Ava is a very elegant and poised person, who always makes sure to look her best at all times. She also has a great love for crafts and arts and she enjoys spending her free time creating and designing things. She is also a big fan of performing arts and she enjoys going to the theater and watching movies and plays. Ava is a big fan of romance and fantasy books, she loves to escape to new worlds and fall in love with new characters. Her least favorite categories are Autobiography, Religion, Disciplines, Fitness.",44,Civil Engineer,Ballroom dancing,"['Crafts', 'Study Aids', 'Performing Arts', 'Fiction']","['Autobiography', 'Religion', 'Disciplines', 'Fitness']"
Alex,M,"a cost estimator and he has a great passion for shoes. He is a very fashionable person and he takes great care in choosing the right shoes for every occasion. He also has a great love for computers and technology and he enjoys spending his free time learning and experimenting with new gadgets. He also has an interest in social science and he enjoys reading about different cultures and societies. He also likes to read Juvenile fiction and Mind books. He is not interested in Fiction, Sports, Education, Relationships.",38,Cost Estimator,Shoes,"['Computers', 'Social Science', 'Juvenile Fiction', 'Mind']","['Fiction', 'Sports', 'Education', 'Relationships']"
Lily,F,"a student, with a major in aerospace engineering and a passion for high-power rocketry. She is a very intelligent and ambitious person, who always strives to be the best in everything she does. She also has a great love for art and she enjoys spending her free time drawing and painting. She is also a big fan of fiction and she enjoys reading stories that transport her to different worlds. She also has interest in Religion books. Her least favorite categories are Self-Help, Business, History, Biography.",21,student,High-power rocketry,"['Art', 'Relationships', 'Fiction', 'Religion']","['Self-Help', 'Business', 'History', 'Biography']"
Max,M,"a desktop publisher and he has a great passion for social studies. He is a very curious person and he enjoys reading about different cultures and societies. He also has a great love for fiction and he enjoys reading stories that take him on new adventures. He also has an interest in Economics and Mind books. He is not interested in Autobiography, Biography, Language Arts, Law.",27,Desktop Publisher,Social studies,"['Fiction', 'Economics', 'Mind', 'Crafts']","['Autobiography', 'Biography', 'Language Arts', 'Law']"
